Time stamp,Sensor name,Raw sensor value
Tue 21:34:41,Temperature sensor,0.5943
Tue 21:34:42,Temperature sensor,0.5943
Tue 21:34:43,Temperature sensor,0.5934
Tue 21:34:44,Temperature sensor,0.5924
Tue 21:34:45,Temperature sensor,0.5924
Tue 21:34:46,Temperature sensor,0.5934
Tue 21:34:47,Temperature sensor,0.5934
Tue 21:34:48,Temperature sensor,0.5924
Tue 21:34:49,Temperature sensor,0.5934
Tue 21:34:50,Temperature sensor,0.5943
Tue 21:34:51,Temperature sensor,0.5934
Tue 21:34:52,Temperature sensor,0.5934
